id,id_android,speed,time,distance,rating,rating_bus,rating_weather,linha,car_or_bus
67,1,0.18086513824460299,1.8,0.006,2,0,0,no_answer,0
70,1,0.18730651497151396,1.7,0.006,2,0,0,no_answer,0
78,1,1.55177191415992,0.08,0.013999999999999999,2,0,0,no_answer,0
99,1,0.891614214585237,1.88,0.028999999999999998,2,0,0,no_answer,0
128,1,1.2619744642138,7.82,0.168,2,0,0,no_answer,0
131,7,19.8334720520812,30.5,10.101,3,0,0,no_answer,1
132,7,16.8934214662962,33.73,9.523,3,0,0,no_answer,1
133,7,20.5827023203105,28.98,10.151,3,0,0,no_answer,1
134,8,0.307454685867442,26.87,0.141,2,0,0,no_answer,1
136,9,21.671743715060398,14.9,5.395,3,0,0,no_answer,1
138,9,33.2011779795367,6.28,3.4730000000000003,3,0,0,no_answer,1
140,9,26.895589231351398,13.55,6.199,3,0,0,no_answer,1
142,9,31.085331330521697,14.08,7.473,3,0,0,no_answer,1
145,8,0.46192954848081297,6.75,0.053,2,0,0,no_answer,1
146,8,0.777134962438477,0.18,0.015,2,0,0,no_answer,1
147,8,1.28318369631319,20.87,0.456,2,0,0,no_answer,1
149,8,23.0511917163542,18.77,7.3389999999999995,3,0,0,no_answer,1
150,7,21.2391801941645,21.62,10.091000000000001,3,0,0,no_answer,1
151,7,21.3008271746005,26.53,9.44,3,0,0,no_answer,1
153,7,24.430593510802805,24.93,10.179,3,0,0,no_answer,1
155,1,0.637205734851614,0.17,0.003,2,0,0,no_answer,0
156,3,17.927771315043103,0.92,0.381,3,0,0,no_answer,1
157,10,0.19612241627944196,2.02,0.017,1,0,0,no_answer,0
158,10,0.0358392609147971,2.38,0.002,1,0,0,no_answer,0
173,1,0.7276843467011641,0.63,0.01,3,0,0,carro,1
177,1,3.45644242463035,0.17,0.015,3,1,1,040 - MARCOS FREIRE II DIA ,0
179,1,1.58068057080132,0.17,0.008,3,1,2,008 - SANTA TEREZA B INDUSTRIA,0
180,1,0.25491237387148197,1.37,0.006,2,0,0,carro,1
190,1,0.9195402298850579,0.1,0.002,2,0,0,carro,1
205,1,1.0229088971763498,0.4,0.008,3,2,1,409 - RIOMAR DIA ,0
206,1,0.0601222485720966,0.88,0.001,3,0,0,carro,1
207,1,0.0669367155853642,6.23,0.006999999999999999,3,0,0,carro,1
208,1,13.468798526444099,17.53,3.9730000000000003,3,0,0,carro,1
209,10,0.12591842012659699,12.0,0.033,2,0,0,carro,1
210,10,23.784876752305998,14.48,6.3389999999999995,1,2,2,051 - ATALAIA CENTRO ,0
248,10,24.003004419964,16.95,6.9239999999999995,3,1,2,051 - ATALAIA CENTRO ,0
32446,10,21.195493325348497,17.08,6.587000000000001,3,2,2,051 - ATALAIA CENTRO ,0
37945,10,20.3702468927379,20.8,7.977,3,1,2,051 - ATALAIA CENTRO ,0
37949,11,2.87800872909554,0.6,0.037000000000000005,1,2,2,007 - FERNANDO COLLOR ATALAIA ,0
37951,10,18.793595434369102,7.02,2.371,3,1,2,100 1 - CIRCULAR SHOPPINGS ,0
37953,10,14.900391846751301,24.02,6.888,3,1,2,715 - TIJUQUINHA  DES MAYNARD,0
37955,10,25.5547121629502,26.3,11.297,3,1,2,080 - BUGIO ATALAIA,0
37956,10,6.76963371457903,4.42,1.143,3,0,0,carro,1
37957,10,22.4681840403171,20.75,8.311,3,0,0,carro,1
37960,1,13.532219442872698,27.85,6.331,1,1,1,031 - EDUARDO GOMES DES. MAYNA,0
37962,12,14.7120528108936,52.42,18.819000000000003,2,0,0,carro,1
37964,10,29.5409544460097,10.73,6.32,3,1,2,051 - ATALAIA CENTRO,0
37965,10,15.6202167120987,16.1,5.162000000000001,3,1,2,715 - TIJUQUINHA  DES MAYNARD,0
37967,1,0.009779393188652641,18.18,0.003,1,1,1,040 - MARCOS FREIRE II DIA,0
37969,1,16.7788951880074,11.38,3.24,1,1,1,031 - EDUARDO GOMES DES. MAYNA,0
37971,1,4.87144790257104,0.17,0.042,3,1,1,031 - EDUARDO GOMES DES. MAYNA,0
37973,1,0.366662786637178,0.95,0.006999999999999999,2,0,0,carro,1
37979,1,0.559217096065508,2.68,0.027999999999999997,3,1,2,034 - TERM ROD L  BATISTA,0
37983,1,1.60135225301366,0.17,0.01,3,1,2,034 - TERM ROD L  BATISTA,0
37989,10,18.7052756317992,20.52,8.173,1,1,1,702 - AUGUSTO FRANCO BEIRA MAR,0
37992,10,13.5582998412167,25.4,7.194,2,0,0,carro,1
37995,10,0.17718394102157897,9.98,0.038,3,1,2,001 - A FRANCO BUGIO,0
37996,13,25.957602520528898,31.82,13.950999999999999,2,0,0,carro,1
38000,1,16.685368043088,26.62,7.435,3,2,2,715 - TIJUQUINHA  DES MAYNARD,0
38001,10,10.941289087428201,32.75,8.382,3,1,2,007 - FERNANDO COLLOR ATALAIA,0
38002,12,30.397044645473798,47.93,24.461,3,0,0,carro,1
38003,14,6.759735823274879,29.08,3.298,2,0,0,carro,1
38012,15,25.654938414407603,21.35,9.149,2,0,0,carro,1
38013,15,17.6544921328944,31.48,9.279,1,0,0,carro,1
38015,10,24.5047380202986,10.92,4.853,1,2,2,051 - ATALAIA CENTRO,0
38016,1,11.5665726177222,26.17,5.105,1,3,1,031 - EDUARDO GOMES DES. MAYNA,0
38017,16,14.630896360136699,45.8,11.218,2,0,0,carro,1
38018,17,0.39847567242769705,0.8,0.006999999999999999,3,1,2,061 - M. FREIRE CENTRO,0
38019,16,9.076858607636039,30.4,4.651,2,0,0,carro,1
38020,18,25.4513325533673,11.5,4.937,3,0,0,carro,1
38022,1,19.3767939170255,20.98,6.809,1,2,2,031 - EDUARDO GOMES DES. MAYNA,0
38024,10,7.1380678780250095,29.5,4.146,3,1,2,051 - ATALAIA CENTRO,0
38031,19,0.172012210205695,24.67,0.079,3,1,2,020 - PIABETA DIA,0
38039,20,1.3116119294227901,0.2,0.021,3,1,2,002 - FERNANDO COLLOR DIA,0
38044,21,23.1993918615228,13.72,5.434,3,2,2,001 - A FRANCO BUGIO,0
38045,21,23.5029280217167,9.4,3.747,3,1,2,001 - A FRANCO BUGIO,0
38064,22,1.4451421176245,5.13,0.134,3,2,2,707 - CASTELO BRANCO CENTRO,0
38069,23,0.5362462760675271,0.78,0.012,3,1,2,001 - A FRANCO BUGIO,0
38072,24,36.6470717274739,11.7,7.332000000000001,3,0,0,carro,1
38073,24,31.367336766904803,15.25,8.024,3,0,0,carro,1
38074,24,25.5623968267628,10.55,4.538,3,0,0,carro,1
38075,24,38.0281073650115,10.23,6.516,3,0,0,carro,1
38076,24,28.1424373938593,13.38,6.38,3,0,0,carro,1
38077,24,21.8120695151521,8.03,3.136,3,0,0,carro,1
38079,24,23.8285145972787,11.75,4.692,2,0,0,carro,1
38080,24,28.3366193216111,6.2,3.13,3,0,0,carro,1
38081,24,30.051731888125,13.02,6.574,2,0,0,carro,1
38082,24,30.1737883866982,15.0,7.706,3,0,0,carro,1
38084,25,1.15377219409012,0.57,0.015,1,3,2,721 - CASTELO BRANCO SUISSA,0
38090,26,0.843222985633979,0.18,0.006,3,1,2,002 - FERNANDO COLLOR DIA,0
38092,27,1.3729977116704801,0.77,0.023,3,1,2,060 - PADRE PEDRO CAMPUS,0
